Domaine	Sous-domaine	URL
actu-generale	Société	https://www.20minutes.fr/societe/
actu-generale	Faits divers	https://www.20minutes.fr/faits_divers/
actu-generale	Politique	https://www.20minutes.fr/politique/
actu-generale	Monde	https://www.20minutes.fr/monde/
actu-generale	Justice	https://www.20minutes.fr/justice/
actu-generale	Santé	https://www.20minutes.fr/sante/
actu-generale	Régionales 2021	https://www.20minutes.fr/dossier/regionales
actu-generale	Départementales 2021	https://www.20minutes.fr/france/departementales/
actu-generale	Présidentielle 2022	https://www.20minutes.fr/elections/presidentielle/
actu-generale	Résultats régionales et départementales	https://www.20minutes.fr/elections/resultats/
locales	Bordeaux	https://www.20minutes.fr/bordeaux/
locales	Lille	https://www.20minutes.fr/lille/
locales	Lyon	https://www.20minutes.fr/lyon/
locales	Marseille	https://www.20minutes.fr/marseille/
locales	Montpellier	https://www.20minutes.fr/montpellier/
locales	Nantes	https://www.20minutes.fr/nantes/
locales	Nice	https://www.20minutes.fr/nice/
locales	Paris	https://www.20minutes.fr/paris/
locales	Rennes	https://www.20minutes.fr/rennes/
locales	Strasbourg	https://www.20minutes.fr/strasbourg/
locales	Toulouse	https://www.20minutes.fr/toulouse/
arts-stars	Cinéma	https://www.20minutes.fr/arts-stars/cinema/
arts-stars	Films au cinéma	https://www.20minutes.fr/arts-stars/cinema/film-au-cinema-en-ce-moment
arts-stars	Culture	https://www.20minutes.fr/arts-stars/culture/
arts-stars	Gastronomie	https://www.20minutes.fr/gastronomie/
arts-stars	Livres	https://www.20minutes.fr/arts-stars/livres/
arts-stars	Médias	https://www.20minutes.fr/arts-stars/medias/
arts-stars	Musique	https://www.20minutes.fr/arts-stars/culture/musique/
arts-stars	People	https://www.20minutes.fr/arts-stars/people/
arts-stars	Série	https://www.20minutes.fr/arts-stars/serie/
arts-stars	Sortir	https://www.20minutes.fr/arts-stars/sortir/
arts-stars	Style	https://www.20minutes.fr/arts-stars/mode/
arts-stars	Télévision	https://www.20minutes.fr/arts-stars/television/
arts-stars	Web	https://www.20minutes.fr/arts-stars/web/
sport	Live score	https://www.20minutes.fr/sport/direct/
sport	Basket	https://www.20minutes.fr/sport/basketball/
sport	Biathlon	https://www.20minutes.fr/sport/biathlon/
sport	Cyclisme	https://www.20minutes.fr/sport/cyclisme/
sport	Football	https://www.20minutes.fr/sport/football/
sport	Mercato	https://www.20minutes.fr/sport/mercato/
sport	Rugby	https://www.20minutes.fr/sport/rugby/
sport	Tennis	https://www.20minutes.fr/sport/tennis/
sport	Tour de France	https://www.20minutes.fr/sport/tour-de-france/
sport	Euro 2021	https://www.20minutes.fr/sport/euro-2020/
sport	JO 2021	https://www.20minutes.fr/sport/jo-2020/
economie	Assurance	https://www.20minutes.fr/economie/assurance/
economie	Automobile	https://www.20minutes.fr/economie/auto/
economie	Consommation	https://www.20minutes.fr/dossier/consommation
economie	Handicap	https://www.20minutes.fr/dossier/handicap
economie	Emploi	https://www.20minutes.fr/economie/emploi/
economie	Immobilier	https://www.20minutes.fr/economie/immobilier/
planete	Animaux	https://www.20minutes.fr/planete/animaux/
planete	Climat	https://www.20minutes.fr/planete/climat/
planete	Environnement	https://www.20minutes.fr/planete/environnement/
planete	Plantes	https://www.20minutes.fr/planete/plantes/
planete	Océans	https://www.20minutes.fr/planete/ocean/
planete	Transition énergétique	https://www.20minutes.fr/dossier/transition_energetique
societe/desintox	Fact checking	https://www.20minutes.fr/societe/fact-checking/
guide-achat	Bon plan	https://www.20minutes.fr/guide-achat/bon-plan/
guide-achat	High tech	https://www.20minutes.fr/guide-achat/high-tech-image/
guide-achat	Electroménager	https://www.20minutes.fr/guide-achat/electromenager/
guide-achat	Cuisine	https://www.20minutes.fr/guide-achat/cuisine-guide-achat/
guide-achat	Codes promo	https://codepromo.20minutes.fr/
